partido_label;sexo_cod;sexo_label;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
General Belgrano;1;Masculino;8563;8681;8799;8915;9029;9143;9254;9364;9473;9580;9685;9789;9891;9992;10091;10189
General Guido;1;Masculino;1463;1464;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;1475;1476;1477;1478
General Juan Madariaga;1;Masculino;9630;9717;9803;9888;9972;10055;10137;10218;10298;10376;10453;10529;10605;10678;10751;10823
General La Madrid;1;Masculino;5406;5382;5358;5335;5311;5288;5266;5243;5221;5199;5178;5157;5136;5115;5095;5075
General Las Heras;1;Masculino;7337;7462;7586;7709;7830;7950;8067;8184;8299;8412;8523;8633;8741;8847;8952;9055
General Lavalle;1;Masculino;1908;1944;1980;2016;2051;2086;2120;2154;2188;2220;2253;2285;2316;2347;2378;2408
General Paz;1;Masculino;5628;5652;5676;5700;5724;5747;5770;5793;5815;5837;5859;5880;5901;5922;5942;5962
General Pinto;1;Masculino;5715;5714;5712;5711;5709;5708;5706;5705;5704;5702;5701;5700;5698;5697;5696;5695
General Pueyrredón;1;Masculino;298814;300576;302344;304095;305824;307528;309210;310871;312509;314124;315713;317278;318823;320346;321846;323324
General Rodríguez;1;Masculino;43451;44676;45892;47095;48284;49455;50610;51750;52875;53983;55074;56148;57207;58251;59280;60292
General Viamonte;1;Masculino;9002;9041;9079;9117;9155;9192;9228;9264;9300;9335;9369;9403;9437;9470;9502;9534
General Villegas;1;Masculino;15724;15859;15994;16127;16258;16388;16516;16642;16766;16889;17009;17128;17245;17360;17474;17586
Guaminí;1;Masculino;5998;6030;6062;6093;6124;6155;6185;6215;6244;6273;6301;6329;6357;6384;6411;6437
Hipólito Yrigoyen;1;Masculino;4793;4826;4857;4889;4920;4951;4981;5011;5041;5070;5099;5127;5155;5182;5209;5236
Junín;1;Masculino;44078;44845;44892;44939;44987;45034;45082;45129;45176;45224;45271;45319;45367;45414;45462;45510
La Costa;1;Masculino;34568;35023;35475;35922;36364;36799;37228;37652;38070;38481;38886;39285;39679;40067;40449;40825
La Plata;1;Masculino;319479;321642;324393;327164;329893;332576;335155;337755;340348;342872;345424;347867;350276;352628;354944;357232
Laprida;1;Masculino;4998;5028;5058;5087;5116;5145;5173;5201;5229;5256;5283;5309;5335;5361;5386;5411
